Shadowbonobo Reforge Plot Results:
intellect, crit_rating, haste_rating, mastery_rating, versatility_rating,  DPS, DPS-Error
-1000, -1000, 2000, -1000, 1000, 1.09604e+06, 239.626, 
-1000, -1000, 2000, 0, 0, 1.09864e+06, 239.098, 
-1000, -1000, 2000, 1000, -1000, 1.10036e+06, 236.242, 
-1000, -1000, 2000, 2000, -2000, 1.10098e+06, 232.896, 
-1000, 0, -2000, 1000, 2000, 1.09218e+06, 393.782, 
-1000, 0, -2000, 2000, 1000, 1.0941e+06, 392.552, 
-1000, 0, -1000, 0, 2000, 1.10097e+06, 325.904, 
-1000, 0, -1000, 1000, 1000, 1.10367e+06, 320.284, 
-1000, 0, -1000, 2000, 0, 1.10491e+06, 324.142, 
-1000, 0, 0, -1000, 2000, 1.1027e+06, 261.11, 
-1000, 0, 0, 0, 1000, 1.10568e+06, 262.054, 
-1000, 0, 0, 1000, 0, 1.10741e+06, 262.524, 
-1000, 0, 0, 2000, -1000, 1.10854e+06, 260.462, 
-1000, 0, 1000, -2000, 2000, 1.09806e+06, 242.55, 
-1000, 0, 1000, -1000, 1000, 1.10137e+06, 241.847, 
-1000, 0, 1000, 0, 0, 1.10383e+06, 242.594, 
-1000, 0, 1000, 1000, -1000, 1.10568e+06, 241.652, 
-1000, 0, 1000, 2000, -2000, 1.10611e+06, 242.042, 
-1000, 0, 2000, -2000, 1000, 1.095e+06, 237.268, 
-1000, 0, 2000, -1000, 0, 1.0983e+06, 237.996, 
-1000, 0, 2000, 0, -1000, 1.10052e+06, 237.485, 
-1000, 0, 2000, 1000, -2000, 1.10164e+06, 237.717, 
-1000, 1000, -2000, 0, 2000, 1.09525e+06, 379.204, 
-1000, 1000, -2000, 1000, 1000, 1.09783e+06, 381.077, 
-1000, 1000, -2000, 2000, 0, 1.09877e+06, 381.299, 
-1000, 1000, -1000, -1000, 2000, 1.10248e+06, 304.553, 
-1000, 1000, -1000, 0, 1000, 1.10555e+06, 304.42, 
-1000, 1000, -1000, 1000, 0, 1.10708e+06, 306.219, 
-1000, 1000, -1000, 2000, -1000, 1.10788e+06, 308.208, 
-1000, 1000, 0, -2000, 2000, 1.10204e+06, 255.623, 
-1000, 1000, 0, -1000, 1000, 1.10559e+06, 255.678, 
-1000, 1000, 0, 0, 0, 1.10812e+06, 255.172, 
-1000, 1000, 0, 1000, -1000, 1.10926e+06, 253.929, 
-1000, 1000, 0, 2000, -2000, 1.10978e+06, 254.443, 
-1000, 1000, 1000, -2000, 1000, 1.10018e+06, 241.249, 
-1000, 1000, 1000, -1000, 0, 1.10351e+06, 241.708, 
-1000, 1000, 1000, 0, -1000, 1.10537e+06, 240.28, 
-1000, 1000, 1000, 1000, -2000, 1.10632e+06, 240.685, 
