intellect, crit_rating, haste_rating, mastery_rating, versatility_rating,  DPS, DPS-Error
-5000, 5000, 3000, -1000, -2000, 1.1563e+06, 268.862, 
-5000, 5000, 3000, 1000, -4000, 1.15696e+06, 266.842, 
-5000, 5000, 5000, -3000, -2000, 1.13936e+06, 268.796, 
-5000, 5000, 5000, -1000, -4000, 1.14231e+06, 265.393, 
-3000, -5000, -1000, 5000, 4000, 1.11763e+06, 410.071, 
-3000, -5000, 1000, 3000, 4000, 1.13777e+06, 289.717, 
-3000, -5000, 1000, 5000, 2000, 1.14043e+06, 289.151, 
-3000, -5000, 3000, 1000, 4000, 1.13022e+06, 255.691, 
-3000, -5000, 3000, 3000, 2000, 1.13505e+06, 254.432, 
-3000, -5000, 3000, 5000, 0, 1.13652e+06, 252.077, 
-3000, -5000, 5000, -1000, 4000, 1.11374e+06, 254.856, 
-3000, -5000, 5000, 1000, 2000, 1.12098e+06, 250.296, 
-3000, -5000, 5000, 3000, 0, 1.12475e+06, 246.726, 
-3000, -5000, 5000, 5000, -2000, 1.12469e+06, 245.205, 
-3000, -3000, -3000, 5000, 4000, 1.09879e+06, 422.12, 
-3000, -3000, -1000, 3000, 4000, 1.13456e+06, 399.942, 
-3000, -3000, -1000, 5000, 2000, 1.1361e+06, 399.49, 
-3000, -3000, 1000, 1000, 4000, 1.14705e+06, 280.614, 
-3000, -3000, 1000, 3000, 2000, 1.15148e+06, 278.362, 
-3000, -3000, 1000, 5000, 0, 1.15233e+06, 277.068, 
-3000, -3000, 3000, -1000, 4000, 1.13523e+06, 261.283, 
-3000, -3000, 3000, 1000, 2000, 1.14198e+06, 260.008, 
-3000, -3000, 3000, 3000, 0, 1.14527e+06, 260.028, 
-3000, -3000, 3000, 5000, -2000, 1.14435e+06, 255.179, 
-3000, -3000, 5000, -3000, 4000, 1.11653e+06, 261.819, 
-3000, -3000, 5000, -1000, 2000, 1.12581e+06, 260.132, 
-3000, -3000, 5000, 1000, 0, 1.13139e+06, 257.501, 
-3000, -3000, 5000, 3000, -2000, 1.13294e+06, 255.553, 
-3000, -3000, 5000, 5000, -4000, 1.13077e+06, 251.926, 
-3000, -1000, -5000, 5000, 4000, 1.07556e+06, 411.162, 
-3000, -1000, -3000, 3000, 4000, 1.1144e+06, 438.827, 
-3000, -1000, -3000, 5000, 2000, 1.11605e+06, 437.833, 
-3000, -1000, -1000, 1000, 4000, 1.14607e+06, 376.131, 
-3000, -1000, -1000, 3000, 2000, 1.15059e+06, 376.45, 
-3000, -1000, -1000, 5000, 0, 1.15062e+06, 375.688, 
-3000, -1000, 1000, -1000, 4000, 1.15165e+06, 278.893, 
-3000, -1000, 1000, 1000, 2000, 1.15785e+06, 277.827, 
-3000, -1000, 1000, 3000, 0, 1.16041e+06, 272.709, 
-3000, -1000, 1000, 5000, -2000, 1.15948e+06, 268.219, 
-3000, -1000, 3000, -3000, 4000, 1.1368e+06, 271.342, 
-3000, -1000, 3000, -1000, 2000, 1.1451e+06, 267.209, 
-3000, -1000, 3000, 1000, 0, 1.15038e+06, 263.899, 
-3000, -1000, 3000, 3000, -2000, 1.15137e+06, 261.74, 
-3000, -1000, 3000, 5000, -4000, 1.14888e+06, 260.311, 
-3000, -1000, 5000, -3000, 2000, 1.12684e+06, 267.038, 
-3000, -1000, 5000, -1000, 0, 1.13421e+06, 263.249, 
-3000, -1000, 5000, 1000, -2000, 1.13771e+06, 262.097, 
-3000, -1000, 5000, 3000, -4000, 1.13722e+06, 257.838, 
-3000, 1000, -5000, 3000, 4000, 1.08839e+06, 415.666, 
-3000, 1000, -5000, 5000, 2000, 1.0887e+06, 415.581, 
-3000, 1000, -3000, 1000, 4000, 1.12681e+06, 439.694, 
-3000, 1000, -3000, 3000, 2000, 1.13021e+06, 447.16, 
-3000, 1000, -3000, 5000, 0, 1.12941e+06, 440.574, 
-3000, 1000, -1000, -1000, 4000, 1.15345e+06, 347.63, 
-3000, 1000, -1000, 1000, 2000, 1.15929e+06, 350.029, 
-3000, 1000, -1000, 3000, 0, 1.16162e+06, 343.045, 
-3000, 1000, -1000, 5000, -2000, 1.15989e+06, 343.836, 
-3000, 1000, 1000, -3000, 4000, 1.15203e+06, 279.193, 
-3000, 1000, 1000, -1000, 2000, 1.1602e+06, 275.269, 
-3000, 1000, 1000, 1000, 0, 1.16467e+06, 273.194, 
-3000, 1000, 1000, 3000, -2000, 1.16521e+06, 270.57, 
-3000, 1000, 1000, 5000, -4000, 1.1621e+06, 264.591, 
-3000, 1000, 3000, -3000, 2000, 1.14486e+06, 273.023, 
-3000, 1000, 3000, -1000, 0, 1.15185e+06, 269.587, 
-3000, 1000, 3000, 1000, -2000, 1.15477e+06, 266.319, 
-3000, 1000, 3000, 3000, -4000, 1.15356e+06, 261.307, 
-3000, 1000, 5000, -3000, 0, 1.13347e+06, 268, 
-3000, 1000, 5000, -1000, -2000, 1.1391e+06, 265.359, 
-3000, 1000, 5000, 1000, -4000, 1.14075e+06, 262.438, 
-3000, 3000, -5000, 1000, 4000, 1.09763e+06, 415.316, 
-3000, 3000, -5000, 3000, 2000, 1.09971e+06, 415.534, 
-3000, 3000, -5000, 5000, 0, 1.09954e+06, 413.686, 
-3000, 3000, -3000, -1000, 4000, 1.13579e+06, 440.664, 
-3000, 3000, -3000, 1000, 2000, 1.1408e+06, 436.679, 
-3000, 3000, -3000, 3000, 0, 1.14242e+06, 440.251, 
-3000, 3000, -3000, 5000, -2000, 1.13995e+06, 438.04, 
-3000, 3000, -1000, -3000, 4000, 1.1555e+06, 320.692, 
-3000, 3000, -1000, -1000, 2000, 1.16339e+06, 320.799, 
-3000, 3000, -1000, 1000, 0, 1.16721e+06, 315.175, 
-3000, 3000, -1000, 3000, -2000, 1.1675e+06, 316.358, 
-3000, 3000, -1000, 5000, -4000, 1.16371e+06, 310.442, 
-3000, 3000, 1000, -3000, 2000, 1.15874e+06, 279.183, 
-3000, 3000, 1000, -1000, 0, 1.16503e+06, 273.081, 
-3000, 3000, 1000, 1000, -2000, 1.16763e+06, 271.532, 
-3000, 3000, 1000, 3000, -4000, 1.16603e+06, 268.1, 
-3000, 3000, 3000, -3000, 0, 1.14999e+06, 270.91, 
-3000, 3000, 3000, -1000, -2000, 1.15481e+06, 266.911, 
-3000, 3000, 3000, 1000, -4000, 1.15577e+06, 264.901, 
