-3000 230 2770
-3000 553 2447
-3000 876 2124
-3000 1199 1801
-3000 1522 1478
-3000 1845 1155
-3000 2168 832
-3000 2491 509
-3000 2814 186
-2677 -93 2770
-2677 230 2447
-2677 553 2124
-2677 876 1801
-2677 1199 1478
-2677 1522 1155
-2677 1845 832
-2677 2168 509
-2677 2491 186
-2677 2814 -137
-2354 -416 2770
-2354 -93 2447
-2354 230 2124
-2354 553 1801
-2354 876 1478
-2354 1199 1155
-2354 1522 832
-2354 1845 509
-2354 2168 186
-2354 2491 -137
-2354 2814 -460
-2031 -739 2770
-2031 -416 2447
-2031 -93 2124
-2031 230 1801
-2031 553 1478
-2031 876 1155
-2031 1199 832
-2031 1522 509
-2031 1845 186
-2031 2168 -137
-2031 2491 -460
-2031 2814 -783
-1708 -1062 2770
-1708 -739 2447
-1708 -416 2124
-1708 -93 1801
-1708 230 1478
-1708 553 1155
-1708 876 832
-1708 1199 509
-1708 1522 186
-1708 1845 -137
-1708 2168 -460
-1708 2491 -783
-1708 2814 -1106
-1385 -1385 2770
-1385 -1062 2447
-1385 -739 2124
-1385 -416 1801
-1385 -93 1478
-1385 230 1155
-1385 553 832
-1385 876 509
-1385 1199 186
-1385 1522 -137
-1385 1845 -460
-1385 2168 -783
-1385 2491 -1106
-1385 2814 -1429
-1062 -1708 2770
-1062 -1385 2447
-1062 -1062 2124
-1062 -739 1801
-1062 -416 1478
-1062 -93 1155
-1062 230 832
-1062 553 509
-1062 876 186
-1062 1199 -137
-1062 1522 -460
-1062 1845 -783
-1062 2168 -1106
-1062 2491 -1429
-1062 2814 -1752
-739 -2031 2770
-739 -1708 2447
-739 -1385 2124
-739 -1062 1801
-739 -739 1478
-739 -416 1155
-739 -93 832
-739 230 509
-739 553 186
-739 876 -137
-739 1199 -460
-739 1522 -783
-739 1845 -1106
-739 2168 -1429
-739 2491 -1752
-739 2814 -2075
-416 -2354 2770
-416 -2031 2447
-416 -1708 2124
-416 -1385 1801
-416 -1062 1478
-416 -739 1155
-416 -416 832
-416 -93 509
-416 230 186
-416 553 -137
-416 876 -460
-416 1199 -783
-416 1522 -1106
-416 1845 -1429
-416 2168 -1752
-416 2491 -2075
-416 2814 -2398
-93 -2677 2770
-93 -2354 2447
-93 -2031 2124
-93 -1708 1801
-93 -1385 1478
-93 -1062 1155
-93 -739 832
-93 -416 509
-93 -93 186
-93 230 -137
-93 553 -460
-93 876 -783
-93 1199 -1106
-93 1522 -1429
-93 1845 -1752
-93 2168 -2075
-93 2491 -2398
-93 2814 -2721
230 -3000 2770
230 -2677 2447
230 -2354 2124
230 -2031 1801
230 -1708 1478
230 -1385 1155
230 -1062 832
230 -739 509
230 -416 186
230 -93 -137
230 230 -460
230 553 -783
230 876 -1106
230 1199 -1429
230 1522 -1752
230 1845 -2075
230 2168 -2398
230 2491 -2721
553 -3000 2447
553 -2677 2124
553 -2354 1801
553 -2031 1478
553 -1708 1155
553 -1385 832
553 -1062 509
553 -739 186
553 -416 -137
553 -93 -460
553 230 -783
553 553 -1106
553 876 -1429
553 1199 -1752
553 1522 -2075
553 1845 -2398
553 2168 -2721
876 -3000 2124
876 -2677 1801
876 -2354 1478
876 -2031 1155
876 -1708 832
876 -1385 509
876 -1062 186
876 -739 -137
876 -416 -460
876 -93 -783
876 230 -1106
876 553 -1429
876 876 -1752
876 1199 -2075
876 1522 -2398
876 1845 -2721
1199 -3000 1801
1199 -2677 1478
1199 -2354 1155
1199 -2031 832
1199 -1708 509
1199 -1385 186
1199 -1062 -137
1199 -739 -460
1199 -416 -783
1199 -93 -1106
1199 230 -1429
1199 553 -1752
1199 876 -2075
1199 1199 -2398
1199 1522 -2721
1522 -3000 1478
1522 -2677 1155
1522 -2354 832
1522 -2031 509
1522 -1708 186
1522 -1385 -137
1522 -1062 -460
1522 -739 -783
1522 -416 -1106
1522 -93 -1429
1522 230 -1752
1522 553 -2075
1522 876 -2398
1522 1199 -2721
1845 -3000 1155
1845 -2677 832
1845 -2354 509
1845 -2031 186
1845 -1708 -137
1845 -1385 -460
1845 -1062 -783
1845 -739 -1106
1845 -416 -1429
1845 -93 -1752
1845 230 -2075
1845 553 -2398
1845 876 -2721
2168 -3000 832
2168 -2677 509
2168 -2354 186
2168 -2031 -137
2168 -1708 -460
2168 -1385 -783
2168 -1062 -1106
2168 -739 -1429
2168 -416 -1752
2168 -93 -2075
2168 230 -2398
2168 553 -2721
2491 -3000 509
2491 -2677 186
2491 -2354 -137
2491 -2031 -460
2491 -1708 -783
2491 -1385 -1106
2491 -1062 -1429
2491 -739 -1752
2491 -416 -2075
2491 -93 -2398
2491 230 -2721
2814 -3000 186
2814 -2677 -137
2814 -2354 -460
2814 -2031 -783
2814 -1708 -1106
2814 -1385 -1429
2814 -1062 -1752
2814 -739 -2075
2814 -416 -2398
2814 -93 -2721
