-7000, 249, 6751, 877172, 234.73, 
-7000, 908, 6092, 882781, 237.248, 
-7000, 1567, 5433, 887304, 239.08, 
-7000, 2226, 4774, 891337, 238.844, 
-7000, 2885, 4115, 895674, 244.251, 
-7000, 3544, 3456, 897995, 256.549, 
-7000, 4203, 2797, 901415, 261.894, 
-7000, 4862, 2138, 902660, 267.775, 
-7000, 5521, 1479, 903851, 271.214, 
-7000, 6180, 820, 905170, 264.411, 
-7000, 6839, 161, 905677, 259.297, 
-6341, -410, 6751, 876487, 243.396, 
-6341, 249, 6092, 881778, 243.646, 
-6341, 908, 5433, 887461, 242.086, 
-6341, 1567, 4774, 891608, 241.301, 
-6341, 2226, 4115, 895663, 245.929, 
-6341, 2885, 3456, 899768, 253.002, 
-6341, 3544, 2797, 902088, 264.454, 
-6341, 4203, 2138, 905141, 267.476, 
-6341, 4862, 1479, 906505, 272.338, 
-6341, 5521, 820, 907940, 273.163, 
-6341, 6180, 161, 908582, 266.369, 
-6341, 6839, -498, 909186, 261.715, 
-5682, -1069, 6751, 875752, 246.444, 
-5682, -410, 6092, 881183, 247.414, 
-5682, 249, 5433, 886340, 245.68, 
-5682, 908, 4774, 891222, 245.191, 
-5682, 1567, 4115, 895742, 248.112, 
-5682, 2226, 3456, 899298, 251.233, 
-5682, 2885, 2797, 903236, 260.706, 
-5682, 3544, 2138, 905700, 268.661, 
-5682, 4203, 1479, 909030, 273.604, 
-5682, 4862, 820, 909867, 278.513, 
-5682, 5521, 161, 911240, 277.301, 
-5682, 6180, -498, 912184, 271.552, 
-5682, 6839, -1157, 911764, 263.791, 
-5023, -1728, 6751, 873472, 250.992, 
-5023, -1069, 6092, 879874, 251.437, 
-5023, -410, 5433, 885051, 251.849, 
-5023, 249, 4774, 890174, 252.627, 
-5023, 908, 4115, 895334, 249.589, 
-5023, 1567, 3456, 899072, 251.423, 
-5023, 2226, 2797, 902921, 255.27, 
-5023, 2885, 2138, 906802, 264.422, 
-5023, 3544, 1479, 909175, 275.1, 
-5023, 4203, 820, 912414, 280.388, 
-5023, 4862, 161, 913096, 283.542, 
-5023, 5521, -498, 914230, 279.838, 
-5023, 6180, -1157, 915082, 271.886, 
-5023, 6839, -1816, 914613, 266.977, 
-4364, -2387, 6751, 870272, 253.426, 
-4364, -1728, 6092, 877476, 255.814, 
-4364, -1069, 5433, 883912, 252.732, 
-4364, -410, 4774, 889122, 255.219, 
-4364, 249, 4115, 893830, 257.608, 
-4364, 908, 3456, 898712, 252.898, 
-4364, 1567, 2797, 902563, 256.99, 
-4364, 2226, 2138, 906301, 263.318, 
-4364, 2885, 1479, 909837, 271.954, 
-4364, 3544, 820, 912231, 278.858, 
-4364, 4203, 161, 915242, 284.425, 
-4364, 4862, -498, 916129, 285.758, 
-4364, 5521, -1157, 916863, 282.888, 
-4364, 6180, -1816, 917177, 272.068, 
-4364, 6839, -2475, 916722, 269.087, 
-3705, -3046, 6751, 867335, 256.253, 
-3705, -2387, 6092, 874273, 257.945, 
-3705, -1728, 5433, 881293, 255.768, 
-3705, -1069, 4774, 887628, 256.108, 
-3705, -410, 4115, 892321, 258.329, 
-3705, 249, 3456, 897263, 263.459, 
-3705, 908, 2797, 901547, 256.897, 
-3705, 1567, 2138, 905661, 264.253, 
-3705, 2226, 1479, 909086, 266.765, 
-3705, 2885, 820, 912557, 274.812, 
-3705, 3544, 161, 915154, 287.277, 
-3705, 4203, -498, 917810, 286.418, 
-3705, 4862, -1157, 918732, 287.789, 
-3705, 5521, -1816, 919259, 284.997, 
-3705, 6180, -2475, 919716, 275.324, 
-3705, 6839, -3134, 918737, 270.6, 
-3046, -3705, 6751, 863789, 259.298, 
-3046, -3046, 6092, 870988, 258.238, 
-3046, -2387, 5433, 878019, 261.569, 
-3046, -1728, 4774, 885026, 258.303, 
-3046, -1069, 4115, 891006, 259.858, 
-3046, -410, 3456, 895616, 259.525, 
-3046, 249, 2797, 900093, 259.752, 
-3046, 908, 2138, 904678, 261.43, 
-3046, 1567, 1479, 908223, 265.35, 
-3046, 2226, 820, 911596, 273.736, 
-3046, 2885, 161, 915043, 279.026, 
-3046, 3544, -498, 917243, 287.88, 
