-3000 230 2770 928020
-3000 553 2447 929605
-3000 876 2124 930995
-3000 1199 1801 931856
-3000 1522 1478 933386
-3000 1845 1155 934589
-3000 2168 832 936548
-3000 2491 509 937747
-3000 2814 186 938844
-2677 -93 2770 926004
-2677 230 2447 928051
-2677 553 2124 930349
-2677 876 1801 931690
-2677 1199 1478 932417
-2677 1522 1155 933710
-2677 1845 832 934892
-2677 2168 509 936871
-2677 2491 186 938021
-2677 2814 -137 938743
-2354 -416 2770 924657
-2354 -93 2447 926516
-2354 230 2124 928496
-2354 553 1801 930388
-2354 876 1478 931797
-2354 1199 1155 932525
-2354 1522 832 933812
-2354 1845 509 935186
-2354 2168 186 936901
-2354 2491 -137 937910
-2354 2814 -460 938997
-2031 -739 2770 923735
-2031 -416 2447 924899
-2031 -93 2124 926812
-2031 230 1801 928789
-2031 553 1478 931004
-2031 876 1155 931843
-2031 1199 832 932913
-2031 1522 509 934155
-2031 1845 186 935515
-2031 2168 -137 937045
-2031 2491 -460 938187
-2031 2814 -783 939165
-1708 -1062 2770 922386
-1708 -739 2447 924287
-1708 -416 2124 925404
-1708 -93 1801 927285
-1708 230 1478 929252
-1708 553 1155 931320
-1708 876 832 932447
-1708 1199 509 932810
-1708 1522 186 934143
-1708 1845 -137 935449
-1708 2168 -460 936956
-1708 2491 -783 938133
-1708 2814 -1106 938882
-1385 -1385 2770 921204
-1385 -1062 2447 922730
-1385 -739 2124 924157
-1385 -416 1801 925793
-1385 -93 1478 927397
-1385 230 1155 929244
-1385 553 832 931504
-1385 876 509 932445
-1385 1199 186 933143
-1385 1522 -137 934133
-1385 1845 -460 935349
-1385 2168 -783 937001
-1385 2491 -1106 938065
-1385 2814 -1429 938594
-1062 -1708 2770 919071
-1062 -1385 2447 921317
-1062 -1062 2124 922971
-1062 -739 1801 924498
-1062 -416 1478 925847
-1062 -93 1155 927288
-1062 230 832 929338
-1062 553 509 931527
-1062 876 186 932390
-1062 1199 -137 933136
-1062 1522 -460 933751
-1062 1845 -783 935324
-1062 2168 -1106 936783
-1062 2491 -1429 937903
-1062 2814 -1752 938415
-739 -2031 2770 916631
-739 -1708 2447 919121
-739 -1385 2124 921653
-739 -1062 1801 923046
-739 -739 1478 924728
-739 -416 1155 925967
-739 -93 832 927330
-739 230 509 929527
-739 553 186 931254
-739 876 -137 932376
-739 1199 -460 933023
-739 1522 -783 934229
-739 1845 -1106 935100
-739 2168 -1429 936723
-739 2491 -1752 937451
-739 2814 -2075 937974
-416 -2354 2770 914220
-416 -2031 2447 916735
-416 -1708 2124 919198
-416 -1385 1801 921555
-416 -1062 1478 923225
